iron-man,0.881839
iron-man-3,0.644239
iron-man-2,0.632287
spider-man-homecoming,0.413761
due-date,0.26833
air-america,0.26833
avengers-age-of-ultron,0.26833
chaplin,0.26833
chef,0.26833
gothika,0.26833
home-for-the-holidays,0.26833
kiss-kiss-bang-bang,0.26833
captain-america-civil-war,0.26833
a-scanner-darkly,0.26833
sherlock-holmes,0.26833
sherlock-holmes-a-game-of-shadows,0.26833
the-singing-detective,0.26833
the-soloist,0.26833
tropic-thunder,0.26833
us-marshals,0.26833
zodiac,0.26833
the-company-you-keep,0.160598
lee-daniels-the-butler,0.105591
men-of-honor,0.0991032
idlewild,0.0991032
pride,0.0991032
sliding-doors,0.0991032
shallow-hal,0.0991032
emma,0.0991032
vocateur-the-morton-downey-jr-movie,0.0991032
fighting,0.0991032
two-lovers,0.0991032
great-expectations,0.0991032
bounce,0.0991032
hush,0.0991032
hustle-flow,0.0991032
the-brave-one,0.0991032
the-talented-mr-ripley,0.0991032
sky-captain-and-the-world-of-tomorrow,0.0991032
it-comes-at-night,0.0852973
